Sample   	OWR	           Timestamp
        0	0  	                0 ps
        1	1  	      509.000,000 us
        2	0  	       28.000,000 us
        3	1  	      112.000,000 us
        4	0  	    4.447,000,000 ms
        5	1  	       11.000,000 us
        6	0  	       56.000,000 us
        7	1  	       57.000,000 us
        8	0  	        8.000,000 us
        9	1  	       10.000,000 us
       10	0  	       57.000,000 us
       11	1  	       57.000,000 us
       12	0  	        8.000,000 us
       13	1  	       10.000,000 us
       14	0  	       56.000,000 us
       15	1  	       57.000,000 us
       16	0  	        8.000,000 us
       17	1  	       10.000,000 us
       18	0  	       57.000,000 us
       19	1  	       57.000,000 us
       20	0  	      521.000,000 us
       21	1  	       57.000,000 us
       22	0  	        8.000,000 us
       23	1  	       10.000,000 us
       24	0  	       57.000,000 us
       25	1  	       57.000,000 us
       26	0  	        8.000,000 us
       27	1  	       57.000,000 us
       28	0  	        8.000,000 us
       29	1  	       56.000,000 us
       30	0  	        8.000,000 us
       31	1  	       57.000,000 us
       32	0  	        8.000,000 us
       33	1  	       10.000,000 us
       34	0  	       57.000,000 us
       35	1  	       57.000,000 us
       36	0  	      525.000,000 us
       37	1  	       57.000,000 us
       38	0  	        8.000,000 us
       39	1  	       57.000,000 us
       40	0  	        8.000,000 us
       41	1  	       57.000,000 us
       42	0  	        8.000,000 us
       43	1  	       10.000,000 us
       44	0  	       56.000,000 us
       45	1  	       57.000,000 us
       46	0  	        8.000,000 us
       47	1  	       10.000,000 us
       48	0  	       57.000,000 us
       49	1  	       57.000,000 us
       50	0  	        8.000,000 us
       51	1  	       10.000,000 us
       52	0  	      572.000,000 us
       53	1  	       57.000,000 us
       54	0  	        8.000,000 us
       55	1  	       10.000,000 us
       56	0  	       57.000,000 us
       57	1  	       10.000,000 us
       58	0  	       57.000,000 us
       59	1  	       57.000,000 us
       60	0  	        8.000,000 us
       61	1  	       56.000,000 us
       62	0  	        8.000,000 us
       63	1  	       11.000,000 us
       64	0  	       56.000,000 us
       65	1  	       57.000,000 us
       66	0  	        8.000,000 us
       67	1  	       10.000,000 us
       68	0  	      570.000,000 us
       69	1  	       10.000,000 us
       70	0  	       57.000,000 us
       71	1  	       10.000,000 us
       72	0  	       57.000,000 us
       73	1  	       57.000,000 us
       74	0  	        8.000,000 us
       75	1  	       57.000,000 us
       76	0  	        8.000,000 us
       77	1  	       56.000,000 us
       78	0  	        8.000,000 us
       79	1  	       57.000,000 us
       80	0  	        8.000,000 us
       81	1  	       57.000,000 us
       82	0  	        8.000,000 us
       83	1  	       57.000,000 us
       84	0  	      525.000,000 us
       85	1  	       57.000,000 us
       86	0  	        8.000,000 us
       87	1  	       57.000,000 us
       88	0  	        8.000,000 us
       89	1  	       57.000,000 us
       90	0  	        8.000,000 us
       91	1  	       57.000,000 us
       92	0  	        8.000,000 us
       93	1  	       56.000,000 us
       94	0  	        8.000,000 us
       95	1  	       57.000,000 us
       96	0  	        8.000,000 us
       97	1  	       57.000,000 us
       98	0  	        8.000,000 us
       99	1  	       57.000,000 us
      100	0  	      529.000,000 us
      101	1  	       57.000,000 us
      102	0  	        8.000,000 us
      103	1  	       57.000,000 us
      104	0  	        8.000,000 us
      105	1  	       57.000,000 us
      106	0  	        8.000,000 us
      107	1  	       57.000,000 us
      108	0  	        8.000,000 us
      109	1  	       56.000,000 us
      110	0  	        8.000,000 us
      111	1  	       57.000,000 us
      112	0  	        8.000,000 us
      113	1  	       57.000,000 us
      114	0  	        8.000,000 us
      115	1  	       57.000,000 us
      116	0  	      529.000,000 us
      117	1  	       57.000,000 us
      118	0  	        8.000,000 us
      119	1  	       57.000,000 us
      120	0  	        8.000,000 us
      121	1  	       57.000,000 us
      122	0  	        8.000,000 us
      123	1  	       57.000,000 us
      124	0  	        8.000,000 us
      125	1  	       56.000,000 us
      126	0  	        8.000,000 us
      127	1  	       57.000,000 us
      128	0  	        8.000,000 us
      129	1  	       57.000,000 us
      130	0  	        8.000,000 us
      131	1  	       57.000,000 us
      132	0  	      529.000,000 us
      133	1  	       10.000,000 us
      134	0  	       57.000,000 us
      135	1  	       10.000,000 us
      136	0  	       57.000,000 us
      137	1  	       10.000,000 us
      138	0  	       57.000,000 us
      139	1  	       56.000,000 us
      140	0  	        8.000,000 us
      141	1  	       57.000,000 us
      142	0  	        8.000,000 us
      143	1  	       10.000,000 us
      144	0  	       57.000,000 us
      145	1  	       10.000,000 us
      146	0  	       57.000,000 us
      147	1  	       57.000,000 us
      148	0  	    3.119,000,000 ms
      149	1  	       57.000,000 us
      150	0  	        8.000,000 us
      151	1  	       10.000,000 us
      152	0  	       57.000,000 us
      153	1  	       10.000,000 us
      154	0  	       56.000,000 us
      155	1  	       11.000,000 us
      156	0  	       56.000,000 us
      157	1  	       10.000,000 us
      158	0  	       57.000,000 us
      159	1  	       10.000,000 us
      160	0  	       57.000,000 us
      161	1  	       57.000,000 us
      162	0  	        8.000,000 us
      163	1  	       10.000,000 us
      164	0  	    2.542,000,000 ms
      165	1  	       10.000,000 us
      166	0  	       56.000,000 us
      167	1  	       11.000,000 us
      168	0  	       56.000,000 us
      169	1  	       10.000,000 us
      170	0  	       57.000,000 us
